benchmark_set,exact_feature_name,mathematical_definition,source_provider,endpoint,raw_fields,original_frequency,temporal_aggregation,lookback_window,minimum_observations,timestamp_used_for_availability,lag,session_reset_behaviour,missing_value_behaviour,quality_filters,fitted_parameters_required,fitting_sample,leakage_risk,implementation_file,function_or_class,tests,status
B0,b0_spot,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B0,b0_rv_5m_lag,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B0,b0_rv_30m_lag,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B0,b0_return_5m_lag,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B0,b0_volume_5m_lag,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B0,b0_session_minute,lagged underlying control,FMP,FMP intraday,"close,volume,timestamp",1-minute,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,FMP raw+1m,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B1Q,b1q_atm_iv,ordinary option state from as-of quote,Massive,Massive quotes,"sip_timestamp,bid,ask,strike,expiry,option_type",quote,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,sip_timestamp <= origin,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B1Q,b1q_skew,ordinary option state from as-of quote,Massive,Massive quotes,"sip_timestamp,bid,ask,strike,expiry,option_type",quote,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,sip_timestamp <= origin,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B1Q,b1q_term_structure,ordinary option state from as-of quote,Massive,Massive quotes,"sip_timestamp,bid,ask,strike,expiry,option_type",quote,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,sip_timestamp <= origin,+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_option_trade_count_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_unique_contract_count_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_total_premium_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_max_trade_premium_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_total_contract_size_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_max_contract_size_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_call_premium_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
B2,b2_put_premium_5m,continuous five-minute aggregate of eligible trades,Unusual Whales Full Tape,Full Tape retained Parquet,"executed_at,created_at,id,premium,size,contract,bid,ask,IV,tags",trade,origin as-of / prior 5-minute bin,documented lag,documented; no imputation,"max(executed_at,created_at) <= origin-cutoff",+1m / 60s primary,reset at XNYS session boundary,strict exclusion; availability-aware missingness,exact/as-of joins; no crossed/stale quotes,yes only for unusual score,CALIBRATION only; pilot application only,post-origin provider record,scripts/run_authorized_pilot.py; scripts/run_b1_calibration_20d.py; scripts/build_b2_calibration_20d.py,existing builders,tests/contract/test_pit_gate_artifacts.py and Phase 4A tests,IMPLEMENTED
